variable;value;type;definition;source;comments
rate_EI;0.0158;float;;;2021 Employment Insurance Premium Rate
rate_EI_qc;0.018;float;;;2021 Employment Insurance Premium Rate
max_earn_EI;56300;float;;;2021 Employment Insurance Premium Rate
min_earn_EI;2000;float;;;
