variable;value;type;definition;source;comments
base_single;3000;int;;; assumed constant ok
base_couple;3000;int;;; assumed constant ok
rate_single_dep;0.27;float;;;
rate;0.27;float;;;
rate_couple_dep;0.27;float;;;
max_single;1428.48;float;;
max_single_dep;1428.48;float;;;
max_couple;2460.67;float;;;
max_couple_dep;2460.67;float;;;
exempt_single;23494.66;float;;;
exempt_single_dep;26805.25;float;;;
exempt_couple;26805.25;float;;;
exempt_couple_dep;26805.25;float;;;
claw_rate;0.12;float;;;
dis_base;1150;int;;;
dis_max;737.28;float;;;
dis_rate_single;0.27;float;;;
dis_rate_couple;0.27;float;;;
dis_exempt_single;33017.86;float;;;
dis_exempt_single_dep;43209.73;float;;;
dis_exempt_couple;43209.73;float;;;
dis_exempt_couple_dep;43209.73;float;;;
dis_claw_rate;0.15;float;;;
dis_couple_claw_rate;0.075;float;;;
