1966,16.037957750944365
1967,16.664332264391664
1968,17.229146629097222
1969,17.764719923150434
1970,18.13715882303803
1971,18.50185091093854
1972,19.322058503302582
1973,20.69391014008855
1974,23.031138854612774
1975,25.549829425854693
1976,27.270087827538646
1977,29.541990273644473
1978,32.01712999927414
1979,34.93503665529506
1980,38.549756841112
1981,43.35486680699717
1982,48.355955578137475
1983,51.01981563475358
1984,53.16832401829135
1985,55.51281120708429
1986,58.22022210931262
1987,60.818755897510336
1988,63.18501850910939
1989,65.97227262829352
1990,68.80307759308992
1991,73.8694926326486
1992,75.29215358931555
1993,76.37366625535311
1994,75.2486027437033
1995,76.5986789576831
1996,77.86165348043842
1997,78.93590767220734
1998,80.16984829788778
1999,81.4400812949118
2000,83.37083545038834
2001,85.38143282282066
2002,87.10169122450463
2003,89.19213181389269
2004,90.90513174130797
2005,92.95202148508382
2006,94.56340277273716
2007,96.05138999782245
2008,98.06924584452348
2009,98.83138564273791
2010,99.99999999999999
2011,102.81628801625874
2012,104.85591928576632
2013,105.70516077520527
2014,107.3165420628584
2015,108.78275386513742
2016,109.66102925165133
2017,110.91674530013785
2018,112.128910503012
