variable;value;type;definition;source ;comments
work_deduc_max;1170;float;;;
work_deduc_rate;0.06;float;;;
nrtc_age_max;3212;float;;;
nrtc_age;65;int;;;
nrtc_single;1750;float;;;
nrtc_pension_max;2853;float;;;
nrtc_pension_factor;1.25;float;;;
nrtc_claw_rate;0.1875;float;;;
nrtc_claw_cutoff;34610;float;;;
nrtc_rate;0.15;float;;;
nrtc_base;15269;float;;;
nrtc_disabled;3391;float;;;
ccap_max_age;18;int;;https://cffp.recherche.usherbrooke.ca/outils-ressources/guide-mesures-fiscales/allocation-famille-soutien-enfants/;
ccap_claw_rate;0.04;float;;;
ccap_claw_cutoff_couple;49044;float;;;
ccap_claw_cutoff_single;35680;float;;;
ccap_amount_single_min;346;float;;;
ccap_amount_single_max;867;float;;;
ccap_kid1_min;694;float;;;
ccap_kid1_max;2472;float;;;
ccap_kid23_min;641;float;;;
ccap_kid23_max;1735;float;;;
ccap_kid4p_min;641;float;;;
ccap_kid4p_max;1852;float;;;
chcare_max_age_young;6;int;;;
chcare_max_age_old;16;int;;;
chcare_young;9660;float;;;
chcare_old;5085;float;;;
solidarity_max_age_kid;18;int;http://www.cqff.com/liens/solidarite.pdf;
solidarity_tvq_base;292;float;;
solidarity_housing_kid;121;float;;
solidarity_tvq_couple;292;float;;
solidarity_housing_not_alone;687;float;;
solidarity_tvq_single;139;float;;
solidarity_housing_alone;567;float;;
solidarity_cutoff;34800;float;;
solidarity_rate_total;0.06;float;;
solidarity_rate_tvq;0.03;float;;
witb_max_age;18;int;https://cffp.recherche.usherbrooke.ca/outils-ressources/guide-mesures-fiscales/credit-impot-remboursable-prime-travail/;
witb_rate_couple_dep;0.25;float;;
witb_rate;0.105;float;;
witb_cut_inc_low_couple;3600;float;;
witb_cut_inc_high_couple;16584;float;;
witb_rate_single_dep;0.30;float;;
witb_cut_inc_low_single;2400;float;;
witb_cut_inc_high_single;10720;float;;
witb_claw_rate;0.10;float;;
exp_work_min_age;60;int;;
exp_work_claw_rate;0.05;float;;
exp_work_cut_inc;34610;float;;
exp_work_rate;0.15;float;;
exp_work_min_inc;5000;float;;
exp_work_max_work_inc_60;10000;float;;
exp_work_max_work_inc_61;10000;float;;
exp_work_max_work_inc_62;10000;float;;
exp_work_max_work_inc_63;10000;float;;
exp_work_max_work_inc_64;10000;float;;
exp_work_max_work_inc_65;11000;float;;
exp_work_age_born_bef51;69;int;;
exp_work_min_amount_born_51;600;float;;
