variable;value;type;definition;source;comments
base_single;2400;int;;form 5005-S6;
base_couple;3600;int;;;
rate_single_dep;0.12;float;;;
rate;0.205;float;;;
rate_couple_dep;0.08;float;;;
max_single;1675.67;float;;;
max_single_dep;980.88;float;;;
max_couple;2614.98;float;;;
max_couple_dep;1020.48;float;;;
exempt_single;12048.62;float;;;
exempt_single_dep;12064.12;float;;;
exempt_couple;18509.60;float;;;
exempt_couple_dep;18538.15;float;;;
claw_rate;0.2;float;;;
dis_base;1200;int;;;
dis_max;538.36;float;;;
dis_rate_single;0.4;float;;;
dis_rate_couple;0.2;float;;;
dis_exempt_single;20426.97;float;;;
dis_exempt_single_dep;16968.52;float;;;
dis_exempt_couple;31584.50;float;;;
dis_exempt_couple_dep;23640.55;float;;;
dis_claw_rate;0.2;float;;;
dis_couple_claw_rate;0.1;float;;;both spouses disabled
