variable;value;type;definition;source;comments
witb_max_age_dep;18;int;;;
witb_base_single_qc;2400;int;;form 5005-S6;
witb_base_couple_qc;3600;int;;;
witb_rate_single_dep_qc;0.12;float;;;
witb_rate_qc;0.205;float;;;
witb_rate_couple_dep_qc;0.08;float;;;
witb_max_single_qc;1661.73;float;;;
witb_max_single_dep_qc;972.72;float;;;
witb_max_couple_qc;2592.84;float;;;
witb_max_couple_dep_qc;1011.84;float;;;
witb_exemption_single_qc;11816.44;float;;;
witb_exemption_single_dep_qc;11854.15;float;;;
witb_exemption_couple_qc;18153.53;float;;;
witb_exemption_couple_dep_qc;18231.98;float;;;
witb_claw_rate_qc;0.2;float;;;
witb_dis_base_qc;1200;int;;;
witb_dis_max_qc;533.98;float;;;
witb_dis_rate_single_qc;0.4;float;;;
witb_dis_rate_couple_qc;0.2;float;;;
witb_dis_exemption_single_qc;20125.09;float;;;
witb_dis_exemption_single_dep_qc;16717.75;float;;;
witb_dis_exemption_couple_qc;31117.73;float;;;
witb_dis_exemption_couple_dep_qc;23291.18;float;;;
witb_dis_claw_rate_qc;0.2;float;;;
witb_dis_couple_claw_rate_qc;0.1;float;;;both spouses disabled
