chcare_brack;0;35345;36655;37970;39270;40580;41885;43210;44515;45820;47120;48445;49750;51055;52360;53675;96875;139070;140395;141710;143025;144345;145665;146975;148300;149615;150920;152250;153565;154895;156210;157525
chcare_rate;0.75;0.74;0.73;0.72;0.71;0.7;0.69;0.68;0.67;0.66;0.65;0.64;0.63;0.62;0.61;0.6;0.57;0.54;0.52;0.5;0.48;0.46;0.44;0.42;0.4;0.38;0.36;0.34;0.32;0.3;0.28;0.26
