variable;value;type;definition;source;comments
div_elig_factor;1.38;float;;; ok
div_other_can_factor;1.15;float;;; ok
div_elig_cred_net_rate;0.16146;float;;; ok
div_other_can_cred_net_rate;0.0393;float;;; ok
cap_gains_rate;0.5;float;;;
qpip_deduc_rate;0.43736;float;;;
work_deduc_max;1315;float;;; ok
work_deduc_rate;0.06;float;;; 
nrtc_age_max;3614;float;;; ok
nrtc_age;65;int;;; ok
nrtc_living_alone;1929;float;;; ok
nrtc_pension_max;3211;float;;; ok 
nrtc_pension_factor;1.25;float;;;
nrtc_claw_rate;0.1875;float;;; ok
nrtc_claw_cutoff;38945;float;;; ok 
nrtc_rate;0.14;float;;; ok
nrtc_base;17183;float;;; ok
nrtc_disabled;3815;float;;; ok 
nrtc_med_exp_rate;0.03;float;;; assumed constant ok
nrtc_donation_low_cut;200;float;;; assumed constant ok
nrtc_donation_high_cut;119905.7;float;indexé de 6,44%;; ok
nrtc_donation_low_rate;0.20;float;;; assumed constant ok
nrtc_donation_med_rate;0.24;float;;; assumed constant ok
nrtc_donation_high_rate;0.2575;float;;; assumed constant ok
nrtc_union_dues_rate;0.10;float;;; assumed constant ok
hsf_high_inc;58350;int;;; ok 
hsf_low_inc;16780;int;;; ok
hsf_low_cutoff;150;int;;; ok
hsf_high_cutoff;1000;int;;; ok
hsf_rate;0.01;float;;; ok
ccap_claw_rate;0.04;float;;; 
ccap_claw_cutoff_couple;55183;float;;; ok
ccap_claw_cutoff_single;40168;float;;; ok  
ccap_amount_single_min;389;float;;; ok
ccap_amount_single_max;976;float;;; ok
ccap_kid1_min;1107;float;;; ok
ccap_kid1_max;2782;float;;; ok
ccap_kid23_min;1107;float;;; ok
ccap_kid23_max;2782;float;;; ok
ccap_kid4p_min;1107;float;;; ok
ccap_kid4p_max;2782;float;;; ok
chcare_young;11360;float;;; ok 
chcare_old;5720;float;;; ok 
pdip_gis_rate_exempt;0.94;float;;; 
pdip_gis_max_high;11843.97;float;gis_full_high + gis_bonus_high;; --
pdip_gis_max_low;7129.41;float;gis_full_low + gis_bonus_low;; --
pdip_couple;29080;float;;; --
pdip_single;17940;float;;; --
pdip_couple_kid1;3670;float;;; --
pdip_single_kid1;11140;float;;; --
pdip_couple_kid2p;7055;float;;; --
pdip_single_kid2p;14810;float;;; --
pdip_cutoff;710;float;;; ok
solidarity_tvq_base;329;float;;; ok
solidarity_housing_kid;144;float;;; ok
solidarity_tvq_couple;329;float;;; ok 
solidarity_housing_not_alone;821;float;;; ok 
solidarity_tvq_single;156;float;;; ok
solidarity_housing_alone;677;float;;; ok
solidarity_cutoff;39160;float;;; ok 
solidarity_rate_total;0.06;float;;;  assumed constant ok
solidarity_rate_tvq;0.03;float;;; assumed constant ok
witb_rate_couple_dep;0.25;float;;; assumed constant ok
witb_rate;0.112;float;;; à vérifié
witb_cut_inc_low_couple;3600;float;;; ok
witb_cut_inc_high_couple;18338;float;;; ok
witb_rate_single_dep;0.30;float;;; ok
witb_cut_inc_low_single;2400;float;;; ok
witb_cut_inc_high_single;11842;float;;; ok
witb_claw_rate;0.10;float;;; ok
home_supp_min_age;70;int;;; assumed constant ok
home_supp_max_dep;25500;float;;; assumed constant ok
home_supp_max_non_dep;19500;float;;; assumed constant ok
home_supp_claw_rate;0.03;float;;; assumed constant ok
home_supp_cutoff;65700;float;;; indexe pour 2023 ok 
home_supp_rate;0.36;float;;; assumed constant ok
senior_assist_min_age;70;int;;; assumed constant ok
senior_assist_amount;2000;float;;; ok
senior_assist_claw_rate;0.0516;float;;; ok
senior_assist_cutoff_couple;41885;float;;; ok
senior_assist_cutoff_single;25755;float;;; ok
med_exp_rate;0.25;float;;; assumed constant ok
med_exp_claw_rate;0.05;float;;; assumed constant ok
med_exp_claw_cutoff;26220;float;;; ok
med_exp_max;1356;float;;; ok
med_exp_min_work_inc;3470;float;;; ok
med_exp_max_fam_inc;48220;float;;;
exp_work_min_age;60;int;;; assumed constant ok
exp_work_claw_rate;0.05;float;;; assumed constant ok
exp_work_cut_inc;35690;float;;; ---
exp_work_rate;0.14;float;;; assumed constant ok
exp_work_min_inc;5000;float;;; assumed constant ---
exp_work_max_work_inc_60;10000;float;;; assumed constant ---
exp_work_max_work_inc_61;10000;float;;; assumed constant ---
exp_work_max_work_inc_62;10000;float;;; assumed constant ---
exp_work_max_work_inc_63;10000;float;;; assumed constant ---
exp_work_max_work_inc_64;10000;float;;; assumed constant ---
exp_work_max_work_inc_65;11000;float;;; assumed constant ---
exp_work_age_born_bef51;70;int;;; assumed constant ---
exp_work_min_amount_born_51;600;float;;; assumed constant ---
supp_furnitures;115;int;;; ok
tax_shield_rate;0.75;float;;; assumed constant ok
tax_shield_max_couple;600;int;;; assumed constant ok
tax_shield_max_single;300;int;;; assumed constant ok
tax_shield_max_inc_variation;4000;int;;; assumed constant ok
