l_brackets;0;41457;82913;148027;207239;264750;529500;1059000
l_rates;0.087;0.145;0.158;0.178;0.198;0.208;0.213;0.218
l_constant;0.00;3606.76;9617.88;19905.89;30445.63;41832.81;96900.81;209684.31
