l_brackets;0;45654;91310;104835;127299;172602;240716
l_rates;0.0506;0.077;0.105;0.1229;0.147;0.168;0.205
l_constant;0.00;2310.09;5825.60;7245.73;10006.56;16666.10;28109.25
