variable;value;type;definition;source;comments
pension_cred_min_age_split;65;int;;;same as for federal
nrtc_base;10354;float;;https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5006-c/5006-c-18e.pdf;
nrtc_age_amount;5055;float;;;
nrtc_age;65;int;;;
nrtc_age_claw_cutoff;37635;float;;https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5006-d/5006-d-18e.pdf;
nrtc_age_claw_rate;0.15;float;;;
nrtc_spouse_cutoff;9671;float;;;
nrtc_spouse_max;8792;float;;;
nrtc_pension_cred_min_age_split;65;int;;;
nrtc_pension_cred_amount;1432;float;;;
nrtc_disabled;8365;float;;;
nrtc_med_exp_age;18;int;;;
nrtc_med_exp_claw;2343;float;;;
nrtc_med_exp_rate;0.03;float;;;
nrtc_med_exp_max_dep;12632;float;;;
nrtc_rate;0.0505;float;;;
nrtc_donation_frac_net;0.75;float;;;
nrtc_donation_cutoff;200;float;;;
nrtc_donation_low_rate;0.0505;float;;;
nrtc_donation_high_rate;0.1116;float;;;
surtax_low_rate;0.20;float;;;
surtax_low_cutoff;4638;float;;;
surtax_high_rate;0.36;float;;;
surtax_high_cutoff;5936;float;;;
div_elig_factor;1.38;float;;;
div_other_can_factor;1.16;float;;;
div_other_can_cred_rate;0.032863;float;;;
div_elig_cred_rate;0.10;float;;;
reduction_base;239;float;;;
reduction_kid;442;float;;;
ocb_amount;1403;float;;;
ocb_cutoff;21416;float;;;
ocb_claw_rate;0.08;float;;;
ostc_amount;301;float;;;
ostc_claw_rate;0.04;float;;;
ostc_single_cutoff;23156;float;;;
ostc_couple_dep_cutoff;28944;float;;;
