chcare_brack;0;20000;22500;25000;27500;30000;32500;35000;37500;40000;45000;50000;55000;60000;63600;67200;70800;74400;78000;81600;85200;88800;92400;96000;99600;103200;106800;110400;114000;117600;121200;124800;128400;132000;135600;139200;142800;146400;150000
chcare_rate;0.75;0.73;0.71;0.69;0.67;0.65;0.63;0.61;0.59;0.57;0.55;0.53;0.51;0.49;0.47;0.45;0.43;0.41;0.39;0.37;0.35;0.33;0.31;0.29;0.27;0.25;0.23;0.21;0.19;0.17;0.15;0.13;0.11;0.09;0.07;0.05;0.03;0.01;0
