variable;value;type;definition;source;comments
pension_cred_min_age_split;65;int;;;same as for federal
nrtc_base;10011;float;;https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5006-c/5006-c-16e.pdf;
nrtc_age_amount;4888;float;;;
nrtc_age;65;int;;;
nrtc_age_claw_cutoff;36387;float;;https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5006-d/5006-d-16e.pdf;
nrtc_age_claw_rate;0.15;float;;;
nrtc_spouse_cutoff;9350;float;;;
nrtc_spouse_max;8500;float;;;
nrtc_pension_cred_min_age_split;65;int;;;
nrtc_pension_cred_amount;1384;float;;;
nrtc_disabled;8088;float;;;
nrtc_med_exp_age;18;int;;;
nrtc_med_exp_claw;2266;float;;;
nrtc_med_exp_rate;0.03;float;;;
nrtc_med_exp_max_dep;12214;float;;;
nrtc_rate;0.0505;float;;;
nrtc_donation_frac_net;0.75;float;;;
nrtc_donation_cutoff;200;float;;;
nrtc_donation_low_rate;0.0505;float;;;
nrtc_donation_high_rate;0.1116;float;;;
surtax_low_rate;0.20;float;;;
surtax_low_cutoff;4484;float;;;
surtax_high_rate;0.36;float;;;
surtax_high_cutoff;5739;float;;;
div_elig_factor;1.38;float;;;
div_other_can_factor;1.17;float;;;
div_other_can_cred_rate;0.042863;float;;;
div_elig_cred_rate;0.10;float;;;
reduction_base;231;float;;;
reduction_kid;427;float;;;
ocb_amount;1356;float;;;
ocb_cutoff;20706;float;;;
ocb_claw_rate;0.08;float;;;
ostc_amount;291;float;;https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/rc4210/gst-hst-credit-2016.html;
ostc_claw_rate;0.04;float;;;
ostc_single_cutoff;22388;float;;;
ostc_couple_dep_cutoff;27985;float;;;
oeptc_rate;0.02;float;;;
oeptc_prop_tax_rate;0.1;float;;;
oeptc_rent_rate;0.2;float;;;
oeptc_energy_amount;224;int;;;
oeptc_prop;728;int;;;
oeptc_prop_old;448;int;;;
oeptc_prop_amount;56;int;;;
oeptc_prop_amount_old;476;int;;;
oeptc_cutoff_couple_old;33582;int;;;
oeptc_cutoff_single_old;27985;int;;;
oeptc_cutoff_couple;27985;int;;;
oeptc_cutoff_single;22388;int;;;
